X,Y,Author(s),Year/Info,n,r,rxx,ryy
Conscientiousness,Academic Dishonesty,Clariana,2013,620,-0.243,0.7,0.82
Conscientiousness,Academic Dishonesty,Fezatte,,310,-0.24,0.9,0.819
Conscientiousness,Academic Dishonesty,"Williams, Nathanson, & Paulhus",,249,-0.28,0.82,0.73
Conscientiousness,Academic Dishonesty,"Williams, Nathanson, & Paulhus",,107,-0.06,0.78,0.57
Conscientiousness,Academic Dishonesty,Gallagher,,205,0.03,0.83,0.8
Conscientiousness,Academic Dishonesty,Bruin & Rudnick (From d),,683,-0.157,0.94,0.7
Conscientiousness,Academic Dishonesty,Karim,2009 (Gau),252,-0.105,0.812,0.92
Conscientiousness,Academic Dishonesty,Aslam,(Gau),932,-0.169,0.464,0.867
Conscientiousness,Academic Dishonesty,Marcus,2007 (Gau),430,-0.49,0.873,0.929
Conscientiousness,Academic Dishonesty,Clark,,220,-0.32,0.9,0.8
Conscientiousness,Academic Dishonesty,Clause,,142,-0.08,0.8289,0.795
Conscientiousness,Academic Dishonesty,Giluk,,377,-0.14,0.8289,0.795
Conscientiousness,Academic Dishonesty,Nguyen,,278,-0.17,0.79,0.77
Conscientiousness,Academic Dishonesty,Noel,,302,0.05,0.8289,0.795
Conscientiousness,Academic Dishonesty,Salgado,,406,-0.19,0.9,0.87
Conscientiousness,Academic Dishonesty,Siaputra,,362,-0.21,0.79,0.81
Conscientiousness,Academic Dishonesty,Stanescu,,252,-0.21,0.9,0.819
Conscientiousness,Academic Dishonesty,Stone,,241,-0.25,0.78,0.89
Extraversion,Academic Dishonesty,Clariana,2013,620,0.084,0.62,0.82
Extraversion,Academic Dishonesty,Fezatte,,310,0.07,0.89,0.819
Extraversion,Academic Dishonesty,"Williams, Nathanson & Paulhus",,249,0.09,0.86,0.73
Extraversion,Academic Dishonesty,"Williams, Nathanson & Paulhus",,107,0.08,0.88,0.57
Extraversion,Academic Dishonesty,Gallagher,,208,0.13,0.79,0.8
Extraversion,Academic Dishonesty,Jackson et al.,Gau,107,-0.04,0.83,0.75
Extraversion,Academic Dishonesty,DeBruin,2006 (Gau),258,0.175,0.8242,0.795
Extraversion,Academic Dishonesty,Karim,Gau,252,0.085,0.782,0.92
Extraversion,Academic Dishonesty,Aslam,Gau,932,-0.071,0.494,0.867
Extraversion,Academic Dishonesty,Marcus,Gau,430,0.13,0.886,0.929
Extraversion,Academic Dishonesty,Clark,,220,0.03,0.9,0.8
