Author(s),Year/Info,n,r,rxx,ryy,,
Calriana,2013,620,-0.155,0.81,0.82,,College
Fezatte,,310,-0.24,0.86,0.819,,College
"Williams, Nathanson, & paulhus",,249,-0.23,0.81,0.73,,College
"Williams, Nathanson, & paulhus",,107,-0.2,0.77,0.57,,College
Gallagher,,207,0.04,0.8,0.75,,College
Karim,Gau,252,-0.114,0.714,0.92,,College
Aslam,Gau,932,-0.053,0.487,0.867,,College
Coyne,Gau,234,-0.01,0.74,0.72,,College
Staats,Gau,77,-0.39,0.93,0.716,,College
Marcus,Gau,430,0.02,0.884,0.929,,College
Clark,,220,-0.29,0.9,0.8,real,College
Giluk,,377,-0.13,0.8105,0.795,,
Nguyen,,278,-0.08,0.83,0.77,,College
Noel,,302,0.09,0.8105,0.795,,College
Salgado,,406,-0.14,0.86,0.87,,College
Stanescu,,252,-0.1,0.9,0.951,,College
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
