Author(s),Year/Info,n,r,rxx,ryy,,School Type,
Clariana,2013,620,-0.243,0.7,0.82,,College,
Fezatte,,310,-0.24,0.9,0.819,,College,
"Williams, Nathanson, & Paulhus",,249,-0.28,0.82,0.73,,College,
"Williams, Nathanson, & Paulhus",,107,-0.06,0.78,0.57,,College,Turnitin
Gallagher,,205,0.03,0.83,0.8,,College,
Bruin & Rudnick (From d),,683,-0.157,0.94,0.7,,College,
Karim,2009 (Gau),252,-0.105,0.812,0.92,,College,
Aslam,(Gau),932,-0.169,0.464,0.867,,College,
Marcus,2007 (Gau),430,-0.49,0.873,0.929,,College,
Clark,,220,-0.32,0.9,0.8,real,College,
Clause,,142,-0.08,0.8289,0.795,,College,
Giluk,,377,-0.14,0.8289,0.795,,,
Nguyen,,278,-0.17,0.79,0.77,,College,
Noel,,302,0.05,0.8289,0.795,,,
Salgado,,406,-0.19,0.9,0.87,,College,
Siaputra,,362,-0.21,0.79,0.81,,College,
Stanescu,,252,-0.21,0.9,0.819,,College,
Stone,,241,-0.25,0.78,0.89,,College,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
