Author(s),Year/Info,n,r,rxx,ryy,,
Huss,Gau,220,0.29,0.68,0.779,,College
Marsden,Gau,945,0.06,0.53,0.905,,College
Norton,Gau,259,0.08,0.929,0.914,,College
Rettinger,2005 (Gau),154,0.43,0.68,0.895,,College
Rettinger,2009 (Gau),154,0.249,0.68,0.895,,College
Rettinger,2004 (Gau),103,0.44,0.68,0.895,,College
Weiss,Gau,182,0.199,0.68,0.78,,College
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
