Author(s),Year/Info,n,r,rxx,ryy,,
Harding,Gau,527,-0.195,0.81,0.7,,College
Lanza-Kadunce,Gau,175,-0.07,0.76,0.7,,College
Staats,2008 (Gau),69,-0.27,0.716,0.716,,College
Caruana,2000 (Gau),122,-0.164,0.71,0.91,,College
Bodey,,170,-0.26,0.76,0.79,,College
Malinowski,,70,-0.38,0.77,1,Objective,College
"Rensburg, Kock, & Derous",2018,308,-0.42,0.83,0.86,,College
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
