Author(s),Year/Info,n,r,rxx,ryy,,School Type
Clariana,2013,620,-0.018,0.65,0.82,,College
Fezatte,,310,-0.14,0.87,0.819,,College
"Williams, Nathanson, & Paulhus",,249,0.07,0.78,0.73,,College
"Williams, Nathanson, & Paulhus",,107,-0.09,0.71,0.57,,College
Gallagher,,205,0.18,0.8,0.8,,College
Karim,Gau,252,-0.038,0.773,0.92,,College
Aslam,Gau,932,-0.087,0.447,0.867,,College
Marcus,Gau,430,-0.06,0.866,0.929,,College
Clark,,220,-0.18,0.9,0.8,real,College
Giluk,,377,-0.11,0.8133,0.795,,
Nguyen,,278,-0.11,0.83,0.77,,College
Noel,,302,-0.07,0.8133,0.795,,College
Salgado,,406,-0.01,0.87,0.87,,College
Stanescu,,252,-0.03,0.87,0.951,,College
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
