Author(s),Year/Info,n,r,rxx,ryy,,,
Antion & Michael,,148,0.13,1,1,,Community College,
Bing et al.,,104,-0.04,1,1,,College,
"Brunell, Staats, Barden, & Hupp",,99,0.13,1,0.82,,College,
Storch & Storch,,244,0.277,1,0.9,,College,
McCabe & Trevino,,1645,0.08,1,0.83,,College,
Tibbets,,598,0.03,1,0.8,,College,
"Marsden, Carroll, & Niells",Composite,954,0.1342,1,0.85,,College,
Bloodgood,,230,0.1,1,0.7,,College,
Wedge,,70,0.04,1,1,Objective,College,
Nelson,,256,0.19,1,0.9,,College,
Lansing,,299,0.242,1,0.934,,College,
Fields,,123,0.051,1,0.78,,College,
Chase,,2300,0.013,1,0.782,,College,
Turnipseed & Landay,2018,519,0.1,1,0.7,,College,Estimate of 1 item measure. Citation needed. (2 items)
Lonsdale,2017,175,0.07,1,0.77,,College,Intent
"Rensburg, Kock, & Derous",2018,308,0.18,1,0.86,,College,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
